Rating,Team
1,Malmo FF
2,Hammarby
3,Elfsborg
4,Mjallby
5,AIK
6,Djurgarden
7,Hacken
8,GAIS
9,Goteborg
10,Sirius
11,Brommapojkarna
12,Norrkoping
13,Varnamo
14,Halmstad
15,Oster
16,Degerfors
