Rating,Team
1,Rakow
2,Lech Poznan
3,Legia
4,Pogon Szczecin
5,Jagiellonia
6,Cracovia
7,Gornik Zabrze
8,Piast Gliwice
9,Radomiak Radom
10,GKS Katowice
11,Korona Kielce
12,Widzew Lodz
13,Motor Lublin
14,Zaglebie
15,Wisla Plock
16,Termalica B-B.
17,Lechia Gdansk
18,Arka Gdynia
