Rating,Team
1,FC Copenhagen
2,Midtjylland
3,Brondby
4,Nordsjaelland
5,Aarhus
6,Randers FC
7,Silkeborg
8,Viborg
9,Fredericia
10,Sonderjyske
11,Vejle
12,OB
